Question,Instruction,Answer
    What data is collected or processed by your app?(DHP_G04_graphPermissionData),"Provide specific types of data that are processed by your app such as User Profile Data, User Mail Data, etc.","Submitted public website URLs and scan settings; account and organization identifiers; Entra tenant/client identifiers; operational logs; scan metadata; derived findings; and bounded public-web evidence excerpts or pointers. No Microsoft Graph mail, files, chats, or directory data are accessed."
    Does the app support TLS 1.2 or higher?(DHP_G16_tlsSupport),Input a True or False value.,True
Does the app or app's underlying infrastructure store any Microsoft customer data?(DHP_G06_customerDataStorage),"Input True or False value.If your app processes or stores any Microsoft customer data such as ANY data consumed from Microsoft resource endpoints such as Microsoft Graph or the customer tenant, select yes. If not, select no.",True
    What data is stored in your databases?(DHP_G05_graphPermissionInfo),Input a Text value. The character limit is 500.,"Account and organization identifiers, submitted URLs, scan settings and status, report and finding metadata, billing references, API activity, privacy-request metadata, and bounded evidence pointers or excerpts. Payment-card details and Microsoft Graph content are not stored."
"    If underlying infrastructure processes or stores Microsoft customer data, where is this data geographically stored?(DHP_G08_storageLocation)","Select one or more of the following values: , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , .",United States
    Do you have an established data rentention and disposal process?(DHP_G09_dataRetention),Input a True or False value.,True
    How long do you maintain user data after account termination?(LEG03_complianceDataTermination),"Select one of the following values: Not retained, Less than 30 days, Less than 60 days, Less than 90 days, More than 90 days.",More than 90 days
"    Do you have an established process to manage all access to customer data, encryption keys/secrets?(DHP_G10_customerDataManagement)",Input a True or False value.,True
Does the app transfer any Microsoft customer data or customer content to third parties or sub-processors? (DHP_G11_dataTransfer),Input a True or False value.,True
    Do you have data sharing agreements with any third-party service you share Microsoft customer data with?(DHP_G12_dataAgreement),Input a True or False value.,False
,,
Do you perform annual penetration testing on the app?(SEC28_securityPenTest),Input a True or False value.,False
"Does the service have a documented disaster recovery plan, including a backup and restore strategy?(SEC26_mcasDisasterRecoveryPlan)",Input a True or False value.,True
Does your environment use traditional anti-malware protection or application controls?(SEC27_antiMalware),"Select one or more of the following values: Traditional Anti-Malware, Application Controls.",Application Controls
Do you have an established process for indentifying and risk ranking security vulnerabilities?(SEC29_complianceSecurityRisk),Input a True or False value.,True
Do you have a policy that governs your service level agreement (SLA) for applying patches?(SEC30_complianceSlaAgreement),Input a True or False value.,True
Do you carry out patch management activities according to your patching policy SLAs?(SEC31_compliancePatchManagement),Input a True or False value.,True
Does your enviroment have any unsupported operating systems or software?(SEC32_complianceUnsupportedSoftware),Input a True or False value.,False
Do you conduct quarterly vulnerability scanning on your app and the infastructure that supports it? (SEC33_complianceVulnerabilityScanning),Input a True or False value.,True
Do you have a firewall installed on your external network boundary?(SEC34_complianceFirewallInstallation),Input a True or False value.,True
Do you have an established change management process used to review and approve change requests before they are deployed to production?(SEC35_complianceChangeManagementProcess),Input a True or False value.,True
Is an additional person reviewing and approving all code change requests submitted to production by the original developer? (SEC36_complianceAdditionalReviewer),Input a True or False value.,False
Do secure coding practices take into account common vulnerability classes such as OWASP Top 10?(SEC37_complianceSecureCoding),Input a True or False value.,False
Check which of the following are secured by multifactor authentication (MFA):(SEC38_complianceMfa),"Select one or more of the following values: Code Repositories, DNS Management, Credential/Key Stores, None of the above.",None of the above
"Do you have an established process for provisioning, modification, and deletion of employee accounts?(SEC39_complianceAccountsMonitoring)",Input a True or False value.,False
Do you have Intrusion Detection and Prevention (IDPS) software deployed at the perimeter of the network boundary supporting your app?(SEC40_complianceSecureAppSupport),Input a True or False value.,False
Do you have event logging set up on all system components supporting your app?(SEC41_complianceEventLogging),Input a True or False value.,True
    Are all logs reviewed on a regular cadence by human or automated tooling to detect potential security events?(SEC42_complianceLogsReview),Input a True or False value.,True
When a security event is detected are alerts automatically sent to an employee for triage?(SEC43_complianceSecurityEvent),Input a True or False value.,True
Do you have a formal information security risk management process established?(SEC44_complianceRiskManagement),Input a True or False value.,False
Do you have a formal security incident response process documented and established?(SEC45_complianceIncidentResponse),Input a True or False value.,False
    Do you report app or service data breaches to supervisory authorities and individuals affected by the breach within 72 hours of detection?(SEC46_complianceDataBreachReporting),Input a True or False value.,False
,,
Does the app comply with the Health Insurance Portability and Accounting Act (HIPAA)?(CMP04_complianceHIPAA),"HIPAA is US legislation that sets standards for protecting the confidentiality and security of individually identifiable health information. The Health Insurance Portability and Accountability Act (HIPAA) is a US healthcare law that establishes requirements for the use, disclosure, and safeguarding of individually identifiable health information. It applies to covered entities — doctors' offices, hospitals, health insurers, and other healthcare companies — with access to patients' protected health information (PHI), as well as to business associates, such as cloud service and IT providers, that process PHI on their behalf.For more information, please check with following url: https://docs.microsoft.com/microsoft-365/compliance/offering-hipaa-hitech?view=o365-worldwide",NA
"Does the app comply with Health Information Trust Alliance, Common Security Framework (HITRUST CSF)?(CMP28_complianceHITRUST)","HITRUST CSF is a set of controls that harmonizes the requirements of information security regulations and standards. HITRUST provides a benchmark — a standardized compliance framework, assessment, and certification process — against which cloud service providers and covered health entities can measure compliance.For more information, please check with following url: https://docs.microsoft.com/microsoft-365/compliance/offering-hitrust?view=o365-worldwide",NA
Has your organization achieved a Service Organization Controls (SOC 1) Certification?(CMP08_complianceSOC_1),"Reporting on controls at a service organization which are relevant to user entities' internal control over financial reporting.For more information, please check with following url: https://docs.microsoft.com/microsoft-365/compliance/offering-soc?view=o365-worldwide",NA
    Select the most recent certification date.(CMP08_complianceSOC_1_DATE),Input the date value in this format: yyyy/mm/dd.,
Has your organization achieved a Service Organization Controls (SOC 2) Certification?(CMP09_complianceSOC_2),"Input True or False value.Reporting on non-financial processing based on one or more of the Trust service criteria on security, privacy, avaiability, confidentiality and processing integrity.For more information, please check with following url: https://docs.microsoft.com/microsoft-365/compliance/offering-soc?view=o365-worldwide",False
    Select the most recent certification date. (CMP09_complianceSOC_2_DATE),Input the date value in this format: yyyy/mm/dd.,
    Which SOC 2 certification did you achieve?(CMP09_complianceSOC2Type),"Select one of the following values: Type 1, Type 2.",
Has your organization achieved a Service Organization Controls (SOC 3) Certification?(CMP11_complianceSOC_3),"Input True or False value.Reporting based on the Trust Service Criteria, that may be distributed freely and only contain management's assertion that they have met the requirements of the chosen criteria? For more information, please check with following url: https://docs.microsoft.com/microsoft-365/compliance/offering-soc?view=o365-worldwide",False
    Select the most recent certification date. (CMP11_complianceSOC_3_DATE),Input the date value in this format: yyyy/mm/dd.,
Do you carry out annual PCI DSS assessments against this app and its supporting environment?(CMP15_compliancePCIAnnualCheck),"The Payment Card Industry (PCI) Data Security Standards (DSS) is a global information security standard designed to prevent fraud through increased control of credit card data. Compliance with PCI DSS is required for any organization that stores, processes, or transmits payment and cardholder data.For more information, please check with following url: https://docs.microsoft.com/compliance/regulatory/offering-pci-dss?view=o365-worldwide",NA
Is the app International Organization for Standardization (ISO 27001) certified?(CMP06_complianceISO_27001),"Input True or False value.ISO 27001 is a certificate given to companies upholding internationally recognized guidelines and general principles for initiating, implementing, and improving information security management within an organization.For more information, please check with following url: https://docs.microsoft.com/microsoft-365/compliance/offering-iso-27001?view=o365-worldwide",False
    Select the most recent certification date.(CMP06_complianceISO_27001_DATE),Input the date value in this format: yyyy/mm/dd.,
Does the app comply with International Organization for Standardization (ISO 27018)?(CMP16_complianceISO_27018),"ISO 27018 establishes commonly accepted controls with guidelines for processing and protecting Personally Identifiable Information (PII) in a public cloud computing environment?For more information, please check with following url: https://docs.microsoft.com/microsoft-365/compliance/offering-iso-27018?view=o365-worldwide",NA
    Select the most recent certification date. (CMP16_complianceISO_27018_DATE),Input the date value in this format: yyyy/mm/dd.,
Does the app comply with International Organization for Standardization (ISO 27017)?(CMP22_complianceISO_27017),"ISO 27017 establishes commonly accepted controls and guidelines for processing and protecting user information in a public cloud-computing environment.For more information, please check with following url: https://docs.microsoft.com/microsoft-365/compliance/offering-iso-27017?view=o365-worldwide",NA
    Select the most recent certification date.(CMP22_complianceISO_27017_DATE),Input the date value in this format: yyyy/mm/dd.,
Does the app comply with International Organization for Standardization (ISO 27002)?(CMP30_complianceISO_27002),"ISO 27002 establishes common guidelines for organizational information security standards and information security management practices.For more information, please check with following url: https://www.itgovernance.co.uk/blog/understanding-the-differences-between-iso-27001-and-iso-27002",NA
    Select the most recent certification date.(CMP30_complianceISO_27002_DATE),Input the date value in this format: yyyy/mm/dd.,
Is the app Federal Risk and Authorization Management Program (FedRAMP) compliant?(CMP18_complianceFedRAMP),"Input True or False value.FedRAMP is a US-government program that provides a standardized approach to security assessment, authorization and continuous monitoring for cloud products and services.For more information, please check with following url: https://docs.microsoft.com/microsoft-365/compliance/offering-fedramp?view=o365-worldwide",False
    Select the FedRAMP compliance level.(CMP18_complianceFedRAMPLevel),"Select one of the following values: Low, LI SAAS, Moderate, High.",
Does the app comply with Family Educational Rights and Privacy Act (FERPA)?(CMP26_complianceFERPA),"FERPA is a federal law that protects the privacy of student education records.For more information, please check with following url: https://docs.microsoft.com/microsoft-365/compliance/offering-ferpa?view=o365-worldwide",NA
Does the app comply with Children's Online Privacy Protection Act (COPPA)?(CMP25_complianceCOPPA),"COPPA defines requirements on website and online services operator that provide content to children under 13 years of age.For more information, please check with following url: https://cloud.google.com/security/compliance/coppa",NA
Does the app comply with Sarbanes-Oxley Act (SOX)?(CMP12_complianceSOX),"SOX is US legislation aimed at protecting shareholders and the general public from accounting errors and frauds, as well as improving the accuracy of corporate disclosures.For more information, please check with following url: https://docs.microsoft.com/microsoft-365/compliance/offering-sox?view=o365-worldwide",NA
Does the app comply with NIST 800-171?(CMP13_nist800171),"NIST SP 800-171 is a NIST Special Publication that provides recommended requirements for protecting the confidentiality of controlled unclassified information (CUI). The US National Institute of Standards and Technology (NIST) promotes and maintains measurement standards and guidelines to help protect the information and information systems of federal agencies.For more information, please check with following url: https://docs.microsoft.com/compliance/regulatory/offering-nist-sp-800-171?view=o365-worldwide",NA
Has the app been Cloud Security Alliance (CSA Star) certified?(CMP19_complianceCSAStarCert),"Input True or False value.CSA SSTAR is dedicated to defining best practices to help ensure a more secure cloud computing environment, and to helping potential cloud customers make informed decisions when transitioning their IT operations to the cloud.For more information, please check with following url: https://cloudsecurityalliance.org/",False
    Select the CSA STAR certification level.(CMP19_complianceCSAStar),"Select one of the following values: Continuous Monitoring, Assessment, Attestation, Self Assessment, Certification.",
,,
Do you have GDPR or other privacy or data protection requirements or obligations?(PRV01_dataProtection),"Input True or False value.The General Data Protection Regulation (GDPR) introduces new rules for organizations that offer goods and services to people in the European Union (EU), or that collect and analyze data for EU residents no matter where you or your enterprise are located.For more information, please check with following url: https://docs.microsoft.com/compliance/regulatory/gdpr?view=o365-worldwide",True
"    Does the app have an external-facing privacy notice that describes how it collects, uses, shares, and stores personal data?(PRV02_privacyNotice)",Input a True or False value.,True
"        If yes, please provide URL.(PRV03_url)",Input a Text value. The character limit is 500.,https://certscore.ai/privacy
"    Does the app perform automated decision making, including profiling that could have a legal effect or similar impact?(PRV04_automatedDecisionMaking)",Input a True or False value.,False
        Are individuals provided an option to object to the processing?(PRV05_objectProcessing),Input a True or False value.,
"    Does the app process personal data for a secondary purpose not described in the privacy notice (i.e. marketing, analytics)?(PRV06_personalDataProcessing)",Input a True or False value.,False
"    Do you process special categories of sensitive data (i.e. racial or ethnic origin, political opinion, religious or philosophical beliefs, genetic or biometric data, health data) or categories of data subject to breach notification laws?(PRV07_sensitiveData)",Input a True or False value.,False
    Does the app collect or process data from minors (i.e. individuals under the age of 16)?(PRV08_minorDataProcessing),Input a True or False value.,False
        Is consent obtained from a parent or legal guardian?(PRV09_consent),Input a True or False value.,
    Does the app have capabilities to delete an individual's personal data upon request?(PRV10_deletePersonalData),Input a True or False value.,True
    Does the app have capabilities to restrict or limit the processing of an individual's personal data upon request?(PRV11_restrictDataProcessing),Input a True or False value.,True
    Does the app provide individuals the ability to correct or update their personal data?(PRV12_updatePersonalData),Input a True or False value.,True
"    Are regular data security and privacy reviews performed to identify risks related to the processing of personal data for the app, such as Data Protection Impact Assessments or privacy risk assessments?(PRV13_dataSecurity)",Input a True or False value.,False
,,
"Does your application integrate with Microsoft Identity Platform (Azure AD) for single-sign on, API access?(IDD01_iddIntegrationPlatform)","Input True or False value.Learn More about the Microsoft Identity Platform.For more information, please check with following url: https://docs.microsoft.com/azure/active-directory/develop/",True
    Does your app use Azure Application appId(s)?(DHP_G01_azureAppIdQuestion),"Input True or False value.The unique identifier for the application that is assigned to an application by Azure AD.For more information, please check with following url: https://docs.microsoft.com/graph/api/resources/application?view=graph-rest-1.0#properties",True
        Azure Application appId(AZUREAPPID),,
            Azure Application appId:(DHP_G01_azureAppId),Input Azure Application appId value.,29eaafce-c468-4f71-8408-8cbdc1bb535b
            What is the ID of the tenant where the above Azure Application appId is registered?(DHP_G08_azureAppIdSingleTenantId),Input a Text value. The character limit is 500.,3fecc197-3e2f-415e-9a36-9fbed37cce61
            Is this ID used by multiple applications?(ZTR01_azureAppIdMultiuse),Input a True or False value.,False
            Does the app use Microsoft Graph permissions? (DHP_G02_graphPermission),Input a True or False value.,False
                Graph API(GRAPH),The following questions can be duplicated for additional Graph permissions.  Copy the following 5 lines to add an additional Graph permission.,
                    Microsoft Graph permission(DHP_G06_MSGraphPerm),"Select one of the following values: , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , .",
                    What is the permission type?(DHP_G03_graphPermissionType),"Select one of the following values: Delegated, Application, Both, Resource-specific consent (RSC).",
                    What is the justification for using this Graph Permission?(ZTR04_graphPermJustify),Input a Text value. The character limit is 500.,
                Does your app request least privilege permissions for your scenario?(IDD04_iddPrivPerm),"Input True or False value.Least privilege permissions are the minimum set of permissions your app needs to request in order to deliver it's intended functionality for customers. For apps calling Microsoft Graph, Graph Explorer and API reference documentation can help you determine the least privilege permissions for your scenario.For more information, please check with following url: https://docs.microsoft.com/graph/best-practices-concept#consent-and-authorization",True
    Have you reviewed and complied with all applicable best practices outlined in the Microsoft identity platform integration checklist?(IDD18_iddIntegrationChecklist),Input a True or False value.,False
    Does your app use the latest version of MSAL (Microsoft Authentication Library) or Microsoft Identity Web for authentication?(IDD19_iddMsal),Input a True or False value.,NA
"        If your app does not use one of the above libraries, what authentication library or libraries does it use?(ZTR03_libraries)",Input a Text value. The character limit is 500.,jose v6.2.2 for RS256 JWT signature and Microsoft Entra access-token claims validation. The AWS app validates inbound tokens and does not acquire tokens itself.
    Does your app support Conditional Access policies? (IDD02_iddAccessPolicy),Input a True or False value.,True
        List the types of policies supported.(IDD03_iddTypesofPolicies),Input a Text value. The character limit is 500.,"Microsoft Entra Conditional Access for workload identities (service principals), including location-based and service-principal risk-based policies enforced at app-only token issuance. Interactive-user MFA, device-compliance, and session policies are not applicable."
Does your app support Continuous Access Evaluation (CAE)(ZTR05_cae),Input a True or False value.,NA
Does your app store any credentials in code?(ZTR06_credStore),Input a True or False value.,False
Apps and add-ins for Microsoft 365 might use additional Microsoft APIs outside of Graph. Does your app or add-in use additional Microsoft APIs? (DHP21_additionalMSAPIs),Input a True or False value.,True
    Other APIs(OTHERAPI),The following questions can be duplicated for additional APIs.  Copy the following 6 lines to add an additional API.,
        What is the service name of the API?(DHP20_serviceName),Input a Text value. The character limit is 500.,Microsoft Entra ID OAuth 2.0 and Azure Key Vault
        What is the justification for using these APIs?(ZTR07_apiJustify),Input a Text value. The character limit is 500.,Microsoft Entra ID issues app-only access tokens for the protected MCP endpoint. Azure Key Vault stores the confidential-client credential required by Microsoft Agent Connector certification/runtime. The app does not access Microsoft Graph customer content.
,,
